name,symbol,slug,category,assetClass,gecko_id,mcap,annualRevenue,annualFees,ps,pf,revYield
Wombat Exchange,WOM,wombat-exchange,Dexs,Application,wombat-exchange,132030.95336750636,417,14179,316.62099128898404,9.31172532389494,0.00315835029108126
Eggs Finance,EGGS,eggs-finance,Reserve Currency,Other/Monetary,eggs-finance,129697.57615852253,44201,147338,2.934267916077069,0.8802724087372065,0.3408005092244395
RadioShack,RADIO,radioshack,Dexs,Application,radioshack,125064.1713306448,0,3658,,34.18922124949284,0
OolongSwap,OLO,oolongswap,Dexs,Application,oolongswap,118625.96313790591,930,5829,127.55479907301711,20.35099727876238,0.007839767748977934
Everclear,CLEAR,everclear,Cross Chain Bridge,Application,everclear,103285.6099369064,0,135081,,0.7646198202330927,0
Stability,STBL,stability,Liquidity Manager,Application,stability,101887.54785608822,0,0,,,0
NetSwap,NETT,netswap,Dexs,Application,netswap,101041.27932680401,45991,276175,2.196979394377248,0.3658596155582656,0.45517040467439535
Aark Digital,AARK,aark-digital,Derivatives,Application,aark-digital,99354.05513671934,3929724,3929724,0.02528270563956129,0.02528270563956129,39.55272882010077
PrimeFi,PRFI,primefi,Lending,Application,primefi,97186.2701412233,207627,578547,0.4680810787673246,0.16798336201073258,2.136382018759369
Surf Liquid,SURF,surf-liquid,Yield,Application,surf-2,97015.86936701744,479,4882,202.5383494092222,19.87215677325224,0.004937336573132292
Rubicon,RUBI,rubicon,Dexs,Application,rubicon,94540.49495264333,3563,3563,26.53395872934138,26.53395872934138,0.03768755390782285
BakerDAO,BREAD,bakerdao,Reserve Currency,Other/Monetary,bread-2,89403.38302333013,0,38702,,2.3100455538041995,0
Concentrator,CTR,concentrator,Yield,Application,concentrator,88347.37177040425,85324,170653,1.0354340135296547,0.5177018380597133,0.9657785884308892
Houdini Swap,LOCK,houdini-swap,DEX Aggregator,Application,houdini-swap,84380.56672393951,1421797,1421797,0.05934783005164557,0.05934783005164557,16.84981572417697
Yala,YALA,yala,CDP,Application,yala,78440.77121581539,757754,3788766,0.103517462416319,0.020703514341032247,9.660205888531857
Mummy Finance,MMY,mummy-finance,Derivatives,Application,mummy-finance,74079.06651570159,8,21,9259.883314462699,3527.57459598579,0.00010799272151066243
Yeet BGT Auction,YEET,yeet-bgt-auction,Gamified Mining,Application,yeet,73511.01867869886,1584501,1584501,0.0463937975922381,0.0463937975922381,21.554605397668603
Strike,STRK,strike,Lending,Application,strike,71280.50418766268,29023,190769,2.456000557752909,0.37364825620338044,0.4071660313118736
TeleSwap,TST,teleswap,Bridge,Other/Monetary,teleport-system-token,69233.07251388524,321575,321575,0.21529370291187203,0.21529370291187203,4.6448176907865175
Snake Finance,SNAKE,snake-finance,Algo-Stables,Application,snake-4,63703.127093954965,253,884107,251.79101618164017,0.07205363954131679,0.003971547576100203
Saddle Finance,SDL,saddle-finance,Dexs,Application,saddle-finance,63307.65659760859,72,159,879.2730083001193,398.16136224911065,0.0011373031931609953
Vertex Perps,VRTX,vertex-perps,Derivatives,Application,vertex-protocol,61830.45784460938,224193,322499,0.2757912059904162,0.19172294439551557,3.625931423044541
Sable Finance,SABLE,sable-finance,CDP,Application,sable,60792.22550594458,0,0,,,0
Metavault.Trade,MVX,metavault.trade,Derivatives,Application,metavault-trade,59947.108568954056,0,0,,,0
Gravity Finance,GFI,gravity-finance,Dexs,Application,gravity-finance,55099.357667754695,0,1213,,45.424037648602386,0
BetSwirl,BETS,betswirl,Prediction Market,Application,betswirl,53345.81606607829,95817,192063,0.5567468827669233,0.27775165474910984,1.7961483592511471
Step Finance,STEP,step-finance,Portfolio Tracker,Application,step-finance,49954.778735076536,597040,597040,0.08367074021016437,0.08367074021016437,11.951609337842566
Roots,MEAD,roots,CDP,Application,mead-2,49817.81078870654,667,667,74.68937149731116,74.68937149731116,0.013388785846671643
Cattos,CATTOS,cattos,Gaming,Application,defi-cattos,49323.33914827199,581831,581831,0.08477262151427474,0.08477262151427474,11.796261365252358
Looter,LOOTER,looter,Trading App,Application,looter,48359.39497439936,1396783,1396783,0.03462198134885616,0.03462198134885616,28.883384515861565
Hermes V2,HERMES,hermes-v2,Yield,Application,hermes-protocol,48138.5901790908,15328,15328,3.1405656432079074,3.1405656432079074,0.3184139781197369
WigoSwap,WIGO,wigoswap,Dexs,Application,wigoswap,46791.77178932804,539,10645,86.81219255905017,4.395657284107848,0.011519119267950685
Sendshot,SEND,sendshot,Launchpad,Application,send-2,45837.0065259319,62749,62749,0.7304818646660808,0.7304818646660808,1.368959379240882
BurrBear,BURR,burrbear,Dexs,Application,burr-governance-token,43003.19975152162,26828,49274,1.6029223107023118,0.8727361235442956,0.6238605535173164
Nether.Fi,NFI,nether.fi,Derivatives,Application,netherfi,42330.87985963032,0,0,,,0
Colony,CLY,colony,Yield,Application,colony,41092.58805931981,576285,1708140,0.07130601709105705,0.024056920427669753,14.024061934675307
Open Stablecoin Index,SQUILL,open-stablecoin-index,Indexes,Application,squill,41076.78538248964,5415,10831,7.585740606184605,3.792520116562611,0.13182628459305692
Gamma,GAMMA,gamma,Liquidity Manager,Application,gamma-strategies,40515.21922602896,413809,2943706,0.09790801849652608,0.01376333751605254,10.213668046355993
Hop Protocol,HOP,hop-protocol,Cross Chain Bridge,Application,hop-protocol,36827.150477808354,0,4914,,7.494332616566616,0
Javsphere,JAV,javsphere,Derivatives,Application,javsphere,31981.186094773122,176170,395129,0.18153593741711485,0.08093859497726849,5.508551167487579
Integral,ITGR,integral,Dexs,Application,integral,31908.814976942238,0,485340,,0.06574528161071051,0
Full Sail,SAIL,full-sail,Dexs,Application,full-sail,30987.65496581805,753373,972271,0.04113188947018018,0.031871417501723336,24.312036545877152
BasisOS,BIOS,basisos,Basis Trading,Application,basisos-by-virtuals,30983.592251416794,25698,25698,1.2056810744578097,1.2056810744578097,0.829406732165632
BeamSwap Classic,GLINT,beamswap-classic,Dexs,Application,beamswap,27819.009243133125,281,675,99.00003289371219,41.213347026863886,0.010101006744852438
Cometh,MUST,cometh,Dexs,Application,must,27282.54908312761,0,1209,,22.56621098687147,0
Cellana Finance,CELL,cellana-finance,Dexs,Application,cellena-finance,27040.17976613652,206069,206069,0.13121905655938798,0.13121905655938798,7.620844305852889
Sonne Finance,SONNE,sonne-finance,Lending,Application,sonne-finance,25775.844595408435,4896,38617,5.264674141219043,0.6674740294535679,0.18994527926631533
BaseSwap V2,BSWAP,baseswap-v2,Dexs,Application,baseswap,25228.823876736606,0,121542,,0.20757288737009927,0
Ooga Booga,OOGA,ooga-booga,DEX Aggregator,Application,ooga-booga,24425.62041615,189998,189998,0.12855725016131747,0.12855725016131747,7.7786355786637476
Clipper,SAIL,clipper,Dexs,Application,sail-2,24103.712208854606,146338,421628,0.16471259829199938,0.05716819615598254,6.071181016932408
Polter Finance,POLTER,polter-finance,Lending,Application,polter-finance,22551.21042624018,13915,27845,1.620640346837239,0.8098836568949607,0.6170400496023378
Teddy Cash,TEDDY,teddy-cash,CDP,Application,teddy,21066.204242278076,0,0,,,0
Somnia Exchange,NIA,somnia-exchange,Dexs,Application,nia-2,20683.94042535882,0,81180,,0.2547910867868788,0
Mendi Finance,MENDI,mendi-finance,Lending,Application,mendi-finance,20531.511685747126,11288,76569,1.818879490232736,0.26814391837097423,0.5497890351559488
SUITE,SUITE,suite,Trading App,Application,suite-2,19404.60417493726,20074,20074,0.966653590462153,0.966653590462153,1.0344967523701063
